id	first_message_id	patches	mbox_sha256	integration
hdmi-overscan	20260602-hdmi-overscan-v1-1-31f71b817c80@flipper.net	2	1af02c20c7d976cbc63ca002a345fdd16c46edf853003731bd514cf4870d19ac	applied
hdmirx-audio	20260721064115.64809-1-royalnet026@gmail.com	4	00205312de6647bee27d7725fa1a78c771675c6eaea0c9608b65a80fce2ea661	applied
hdmi-scdc-debugfs	20260724-scdc-link-health-v9-0-bdda406d016d@collabora.com	5	2d2efe8423ddf8f2fd383ccd129c1a518bb8909752f6adf297158c725fe12b64	reconciled
hdmi-yuv	20260709-dw-hdmi-qp-yuv-v3-1-a4a982a9f2e7@collabora.com	14	cd46ec943085ae6647474651a7e0b7b0d5ae7691e93e927dbf17f1b7e966e629	reconciled
hdptx-clock-fixes	20260723-hdptx-clk-fixes-v5-0-8e786067865f@collabora.com	10	f0aa12fb58b9d0da245eb832792642b2f188e01c8d370a3ed94525523f612965	applied
i2c-scl-debounce	20260402141927.7216-1-linux.amoon@gmail.com	2	f6a7fa20d9bb07b8ac9b6f682ff7c08aab798c404f67048f4cc33a0d5b1726e8	applied
naneng-ssc-cleanup	1777251433-110466-1-git-send-email-shawn.lin@rock-chips.com	1	8bfc6b6ffc09ee3e8b02801860b80cbbb7a4b5603bdeefd8bec5f0b2ead6f34a	upstream
naneng-ssc-direction	20260714-naneng-ssc-fix-v1-1-1c40a58061ae@flipper.net	1	d0e35a790aa1728684a7d7710c5e3eab32700bb063ddef290766f88d5ee53bfd	upstream
naneng-tx-detect-erratum	1774423383-36599-1-git-send-email-shawn.lin@rock-chips.com	1	612f74de6a72e21782e25988da0dabd6a0f289b4d688c2027a3b4b8372baddca	applied
pci-port-reset	20260518-pci-port-reset-v8-1-eb5a7d331dfc@oss.qualcomm.com	5	bd86535279e44bdc791e88b7820e7963cbafdf71b0a201e02252eb0cbf9737e6	applied
pci-wakeirq	20260707-wakeirq_support-v12-1-b4453f5bcc97@oss.qualcomm.com	1	123e0b5a20d6cb9ba6481f0ad3726566bee90db5176129ddd589f121b291c1cb	applied
rga3-multicore	20260606-spu-rga3multicore-v1-1-3ec2b15675f7@pengutronix.de	17	9a756a4804405a3becb210444658325c30956d788cc4ea231df51477079bd42f	reconciled
rk3588-can	tencent_7BAA0052C402BFFD26291A64198084E39107@qq.com	4	5127ff5f6fd686d2d1d088df7851acda5131f27e59438e7dcbd521ced7b1a6a0	applied
rk3588-crypto	20260708175837.1718437-2-dawidro@gmail.com	4	024aa69712783d325e7311fa93603f8682c28724d780d8bc3b94d49dd6c6ce38	applied
rkcif-fixes	20260216-rkcif-fixes-v2-1-ee40931fe0ff@collabora.com	2	90a6a57b70e9a0f1b567d01b6b694c324a25ab06f4ed49665c339f64ffdbeb12	upstream
rkisp2	20260424175853.638202-2-paul.elder@ideasonboard.com	5	7f99c49118b2115a12eadd0cdbb9d4d1213ddfc6f9e5f9a2f8eab3447a311a3e	applied
rkvdec-bitwriter	20260402-rkvdec-use-bitwriter-v3-1-2072474ceaf4@collabora.com	4	21f7f44d3c7dd666d70b4edf49b2b5b65cf32bfdb07ba35e4661acaf717fe925	upstream
rkvdec-h265-fixes	20260527194737.1999409-2-michael.bommarito@gmail.com	3	b14563d3d4851b8f0736011e6fe8f7c235e5eca6773635a65b03ac39d6bcf099	applied
rkvdec-multicore	20260409-rkvdec-multicore-v1-1-62b316abf0f7@collabora.com	7	def99b84010a4cd70aa22f61a33dc9b45939157a0d46a6f8d128dfa6d49b8d84	reconciled
rkvdec-vp9-vdpu381	20260726-b4-add-rkvdec2-vp9-vdpu381-v1-0-180fb2d1f10c@gmail.com	4	e6b52669786cd8d006d28a22fb06086801d2e23d458db455a27284cbddab3efd	applied
rockchip-pcie-system-pm	20260316-rockchip-pcie-system-suspend-v5-1-5bb5ad37d643@collabora.com	8	4241a103b27a74995728ba80ae9fbd64820bed89727d801ff766df3cadef0698	reconciled
rocket-npu-workloads	20260217-accel-rocket-clean-base-v1-1-d72354325a25@r-sc.ca	5	6404d8872d88b70df9a580637b8547b2b756e9dee52338fbfe6634889ca75516	reconciled
sai-slot-width	20260318-sai-slot-width-v1-1-1f68186f71e3@flipper.net	1	dfd41d03b5e03d17d941e78450dd212e38c8caa47ec5ec16e0d0b51bab7a1b10	upstream
samsung-csi-dcphy	20260726-dcphy-rx-v1-v2-0-cf9cc34a412a@gmail.com	4	648ff94b145be2ed8b13ee60956f25e5fe2ebca94503c22b748dfe42e48589a9	applied
shared-media-graph	20260619052637.1110672-2-paul.elder@ideasonboard.com	6	2e01d8751a9ca2841eef99fd86567b4a8abbe6881bf48a5c1096f6855c71a773	applied
usbdp-cleanup	20260714-rockchip-usbdp-cleanup-v13-1-6cb3e769d4c5@collabora.com	35	c3b9448c8a186ba21981dd73d31508bf1a4377e19e688f077dae939a4e36148d	reconciled
v4l2-codec-tracepoints	20260610-v4l2-add-ftrace-v2-1-9756edf72ac1@collabora.com	9	2c06e2c9d49804a49e3b3595b298f19b85697850248dc3c4d12c720c2e485319	applied
v4l2-fdinfo	20260706-v4l2-add-fdinfo-v3-1-d556568cf38e@collabora.com	5	76345a6d58f04a9c675e66a738f7ffaa15eb90ea2f723646e07dc83f3e399999	reconciled
vop2-clock-reset	20241115162120.83990-2-detlev.casanova@collabora.com	3	99425d169d5eeed54efdadc504c6daca22ef7e87c8d59c063e948a99c516b7b3	reconciled
vop2-multi-output	20260504-vop2-layer-cfg-tmout-v1-1-730226a7331e@collabora.com	5	cbcb355e45cb184b238912686988b7971f6e925501b5d786d6c9ace3be76f424	applied
vop2-yuv-background	20260601-vop2-bg-yuv-v2-1-e5aef1d16fec@collabora.com	2	a2fec805721c6978fb0fbe3563062b082f1e377f5854fb947ed59a44358b9361	applied
